1,AntiCast,http://feeds.soundcloud.com/users/soundcloud:users:33711988/sounds.rss
2,"Basically, Run!",http://feeds.feedburner.com/basicallyrun
3,Bilheteria,http://feeds.feedburner.com/over-bilheteria
4,MotherChip,http://feeds.feedburner.com/motherchip
5,Braincast,http://feeds.feedburner.com/braincastmp3
7,Canal42.tv,http://feeds.feedburner.com/canal42podcast
9,Jogabilidade (Games),http://feeds.feedburner.com/dashpodcast
10,Loop Matinal,http://loopmatinal.libsyn.com/rss
12,Jogabilidade (Não Games),http://feeds.feedburner.com/jack-animeclub
